APP_NUMBER,AMOUNT_FUNDED,INDUSTRY,COUNTRY,ANNUAL_REVENUE,YEARS_IN_BUS,FUNDED_DATE
CD2010190170,69085,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,4/7/2021
CD2203050021,49107.76,CONSTRUCTION,CAN,"250,000 - 500,000",10+ years,5/12/2022
CD2104290292,42785,FORESTRY,CAN,"500,000 - 1,000,000",10+ years,7/12/2021
CD2010200339,6347.09,RENTAL COMPANY,CAN,"Under 250,000",10+ years,1/19/2021
CD2010200574,104665,AGRICULTURE,CAN,"250,000 - 500,000",10+ years,3/31/2021
CD2203150728,32343.97,MATERIAL HANDLING,CAN,"Under 250,000",2 years,4/4/2022
CD2205050495,79697.5,OTHER,CAN,"500,000 - 1,000,000",10+ years,5/9/2022
CD2205050526,28256,MATERIAL HANDLING,CAN,"1,000,000 - 5,000,000",4 years,5/13/2022
CD2011160407,132544.25,FORESTRY,CAN,"1,000,000 - 5,000,000",10+ years,1/5/2021
CD2104290302,164640,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",8 years,5/12/2021
CD2203150187,98668.83,CONSTRUCTION,CAN,"250,000 - 500,000",6 years,4/26/2022
CD2205050719,98161.25,CONSTRUCTION,USA,"250,000 - 500,000",9 years,5/12/2022
CD2203141082,29120,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/15/2022
CD2205050634,35098.73,CONSTRUCTION,USA,"5,000,000 - 10,000,000",9 years,5/9/2022
CD2011060725,26265,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",3 years,10/14/2021
CD2010230405,53051,MINING,CAN,"Under 250,000",10+ years,4/26/2021
CD2011130819,31000,SHORT-HAUL TRANSPORTATION,CAN,"500,000 - 1,000,000",10+ years,1/15/2021
CD2203150788,127133,AGRICULTURE,CAN,"500,000 - 1,000,000",6 years,3/23/2022
CD2012160398,17226.56,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",10+ years,3/31/2021
CD2012090615,34295,OTHER,CAN,"1,000,000 - 5,000,000",10+ years,1/25/2021
CD2012160427,58454.5,AGRICULTURE,CAN,"1,000,000 - 5,000,000",10+ years,1/14/2021
CD2104290490,78298.89,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",7 years,5/19/2021
CD2010280903,167928.42,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,3/12/2021
CD2012160358,83631.65,FORESTRY,USA,"5,000,000 - 10,000,000",10+ years,4/8/2021
CD2012160478,60533.85,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,3/10/2021
CD2104290629,62535,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,5/6/2021
CD2102020198,35434.66,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",10+ years,2/25/2021
CD2012090649,16269.75,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",4 years,3/9/2021
CD2011130928,29500,SHORT-HAUL TRANSPORTATION,CAN,"Under 250,000",7 years,1/6/2021
CD2104290886,8250,CONSTRUCTION,CAN,"500,000 - 1,000,000",7 years,5/17/2021
CD2104290749,87716.97,AGGREGATE,USA,"500,000 - 1,000,000",10+ years,5/13/2021
CD2104290767,50441,OTHER,CAN,"Under 250,000",2 years,8/17/2021
CD2104291148,267381.1,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,5/31/2021
CD2104290797,47334.33,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,5/5/2021
CD2104300030,58465,RENTAL COMPANY,USA,"250,000 - 500,000",5 years,8/20/2021
CD2104301049,28165,AGRICULTURE,USA,"Over 10,000,000",10+ years,5/25/2021
CD2104290786,29245,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,5/3/2021
CD2104290512,132835,CONSTRUCTION,CAN,"500,000 - 1,000,000",5 years,5/7/2021
CD2105200483,70570,MATERIAL HANDLING,USA,"1,000,000 - 5,000,000",10+ years,5/28/2021
CD2012010280,18050.39,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/8/2021
CD2104300951,71000.46,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,5/12/2021
CD2102020792,132555,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",9 years,3/30/2021
CD2012090660,86855,LONG-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",10+ years,1/19/2021
CD2102020964,24128.24,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",8 years,3/10/2021
CD2011180603,22226.34,OTHER,CAN,"Under 250,000",6 years,3/26/2021
CD2102020880,30716.87,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/24/2021
CD2104290862,81279.8,CONSTRUCTION,CAN,"Under 250,000",6 years,6/3/2021
CD2011250787,23000,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,3/15/2021
CD2104290934,67500,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",10+ years,5/17/2021
CD2104290938,99823.8,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,5/14/2021
CD2011170426,110240,OTHER,USA,"Under 250,000",10+ years,1/13/2021
CD2011180049,50225,OTHER,CAN,"250,000 - 500,000",10+ years,1/14/2021
CD2102020681,32494.1,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",3 years,4/6/2021
CD2104291079,17773.25,LONG-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",4 years,5/7/2021
CD2102020655,95849.55,CONSTRUCTION,USA,"Over 10,000,000",10+ years,8/16/2021
CD2102020601,51236.45,CONSTRUCTION,USA,"Under 250,000",5 years,2/10/2021
CD2102020986,80167,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,2/8/2021
CD2102030002,44665.15,LONG-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",5 years,4/14/2021
CD2102020848,32253.68,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",1 year,2/22/2021
CD2104291038,17200,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",1 year,5/12/2021
CD2011171000,129464.95,CONSTRUCTION,USA,"1,000,000 - 5,000,000",8 years,1/6/2021
CD2012180411,40173.27,CONSTRUCTION,USA,"500,000 - 1,000,000",7 years,1/28/2021
CD2104290989,80100,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,10/8/2021
CD2201050014,82782.7,LONG-HAUL TRANSPORTATION,CAN,"Under 250,000",0 years,1/19/2022
CD2104300711,48071.6,AGRICULTURE,CAN,"Under 250,000",5 years,5/5/2021
CD2012090745,25810.06,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",4 years,1/18/2021
CD2101220795,27201.95,SHORT-HAUL TRANSPORTATION,CAN,"500,000 - 1,000,000",10+ years,3/17/2021
CD2102161168,14995,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,2/22/2021
CD2101230011,21795,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,1/28/2021
CD2104291075,15770,SHORT-HAUL TRANSPORTATION,CAN,"Under 250,000",10+ years,6/23/2021
CD2102160889,9992.79,CONSTRUCTION,USA,"Under 250,000",10+ years,3/9/2021
CD2012040954,42850,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,3/25/2021
CD2102170109,13950,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",4 years,2/24/2021
CD2104291206,43140,SHORT-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",10+ years,5/11/2021
CD2104300773,326326.8,CONSTRUCTION,CAN,"Over 10,000,000",10+ years,7/28/2021
CD2104291150,52362.8,CONSTRUCTION,CAN,"Under 250,000",1 year,5/6/2021
CD2104291220,14020.88,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",4 years,8/26/2021
CD2205050907,195815,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",5 years,5/12/2022
CD2011060501,39350,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,3/29/2021
CD2205050873,52223.54,SHORT-HAUL TRANSPORTATION,CAN,"Under 250,000",0 years,5/16/2022
CD2012090735,270995,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,2/11/2021
CD2011060591,13200.63,OTHER,USA,"1,000,000 - 5,000,000",10+ years,1/15/2021
CD2104291192,60707.97,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,6/21/2021
CD2012090764,17883.2,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",10+ years,1/12/2021
CD2102020598,24375,CONSTRUCTION,USA,"1,000,000 - 5,000,000",4 years,3/25/2021
CD2203070165,134882.13,CONSTRUCTION,USA,"1,000,000 - 5,000,000",4 years,3/9/2022
CD2101290271,55427.77,CONSTRUCTION,USA,"Over 10,000,000",10+ years,7/15/2021
CD2104300683,81103,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,10/15/2021
CD2011230348,28900.25,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,3/9/2021
CD2102020615,30684.64,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,2/23/2021
CD2101220202,15995,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",3 years,2/16/2021
CD2105210289,30495,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",10+ years,5/27/2021
CD2203070199,53166.65,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",4 years,3/23/2022
CD2203151055,33045.16,RENTAL COMPANY,USA,"Under 250,000",10+ years,4/12/2022
CD2101220215,54373.94,LONG-HAUL TRANSPORTATION,USA,"Over 10,000,000",10+ years,2/5/2021
CD2104300725,31745,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",8 years,5/17/2021
CD2102020993,83780,CONSTRUCTION,CAN,"250,000 - 500,000",2 years,2/26/2021
CD2102020802,126711.6,CONSTRUCTION,USA,"Over 10,000,000",10+ years,5/21/2021
CD2102020963,66448.78,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,4/21/2021
CD2011230266,12588,CONSTRUCTION,USA,"Under 250,000",6 years,3/8/2021
CD2203070301,29564.63,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",3 years,3/22/2022
CD2205050879,105895,OTHER,CAN,"1,000,000 - 5,000,000",10+ years,5/10/2022
CD2105200782,27389.83,CONSTRUCTION,USA,"Under 250,000",8 years,5/26/2021
CD2105200314,13753.68,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,6/11/2021
CD2104300843,39154.68,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",3 years,5/28/2021
CD2105200688,41349.65,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",10+ years,8/17/2021
CD2105200655,79532.05,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,5/21/2021
CD2105200633,26690.3,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",8 years,6/10/2021
CD2203151154,113155.2,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,3/16/2022
CD2012180333,41593,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",8 years,2/18/2021
CD2101140362,77360,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",7 years,1/25/2021
CD2101140219,26975,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,1/29/2021
CD2101140548,16250,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",10+ years,3/23/2021
CD2012290293,41164.18,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,3/22/2021
CD2205051192,53685,MANUFACTURING,CAN,"Over 10,000,000",10+ years,5/16/2022
CD2011100725,15846.34,CONSTRUCTION,USA,"Under 250,000",6 years,2/17/2021
CD2205051109,192346.25,RENTAL COMPANY,CAN,"Under 250,000",10+ years,5/13/2022
CD2011100656,19160.4,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,3/12/2021
CD2012110731,100666.43,CONSTRUCTION,USA,"Over 10,000,000",10+ years,2/23/2021
CD2104300914,16852.83,AGRICULTURE,USA,"Under 250,000",4 years,5/12/2021
CD2011101014,41385,SHORT-HAUL TRANSPORTATION,CAN,"500,000 - 1,000,000",10+ years,1/26/2021
CD2205051129,50536.63,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,5/9/2022
CD2011100010,166326.91,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,8/17/2021
CD2012111008,45175.3,CONSTRUCTION,USA,"Under 250,000",4 years,2/28/2021
CD2104300963,29825,SHORT-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",7 years,5/6/2021
CD2102260909,28749.03,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,3/4/2021
CD2102010389,110312.6,CONSTRUCTION,USA,"500,000 - 1,000,000",7 years,2/24/2021
CD2102160503,30995,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,5/31/2021
CD2102010139,61093,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",8 years,2/3/2021
CD2104300982,34919.48,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,5/20/2021
CD2205051149,180970.39,LONG-HAUL TRANSPORTATION,USA,"5,000,000 - 10,000,000",10+ years,5/16/2022
CD2205051130,19695,RENTAL COMPANY,USA,"500,000 - 1,000,000",4 years,5/9/2022
CD2011300979,93404.71,RENTAL COMPANY,USA,"1,000,000 - 5,000,000",8 years,3/4/2021
CD2012010459,78934.74,AGRICULTURE,CAN,"500,000 - 1,000,000",10+ years,3/10/2021
CD2012010663,26087.36,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",4 years,1/14/2021
CD2101150531,15000,CONSTRUCTION,USA,"Under 250,000",10+ years,1/20/2021
CD2011130398,42985,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/4/2021
CD2103100092,23599.74,LONG-HAUL TRANSPORTATION,CAN,"500,000 - 1,000,000",6 years,4/22/2021
CD2011130445,29695,CONSTRUCTION,USA,"Under 250,000",10+ years,7/22/2021
CD2106240217,101345,CONSTRUCTION,USA,"1,000,000 - 5,000,000",5 years,6/30/2021
CD2205051340,53277.51,CONSTRUCTION,USA,"Under 250,000",9 years,5/11/2022
CD2106240282,242795,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,7/19/2021
CD2012040524,46149.38,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",8 years,1/6/2021
CD2011301028,33688.8,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",7 years,3/23/2021
CD2012010538,46000,SHORT-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",9 years,3/25/2021
CD2012010639,13925,SHORT-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",9 years,3/22/2021
CD2012010285,16042.5,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,1/11/2021
CD2102260647,143092.5,AGRICULTURE,CAN,"1,000,000 - 5,000,000",10+ years,3/18/2021
CD2101220451,52345,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,1/29/2021
CD2011180607,26676.87,AGRICULTURE,USA,"250,000 - 500,000",10+ years,1/28/2021
CD2102160444,46046,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,2/25/2021
CD2011180972,53130.75,CONSTRUCTION,USA,"1,000,000 - 5,000,000",9 years,1/19/2021
CD2106240227,68235,LONG-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",10+ years,6/24/2021
CD2107150918,41078.34,CONSTRUCTION,CAN,"250,000 - 500,000",3 years,7/21/2021
CD2103230462,78369.31,RENTAL COMPANY,USA,"1,000,000 - 5,000,000",10+ years,4/6/2021
CD2108250778,242495,CONSTRUCTION,CAN,"Under 250,000",10+ years,9/14/2021
CD2106240484,46692.89,CONSTRUCTION,USA,"Under 250,000",6 years,12/10/2021
CD2107150964,20260,SHORT-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",6 years,7/16/2021
CD2108250781,84894.25,CONSTRUCTION,USA,"Over 10,000,000",8 years,8/31/2021
CD2011181014,208495,LONG-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",5 years,1/13/2021
CD2106240414,27845,CONSTRUCTION,USA,"1,000,000 - 5,000,000",9 years,6/30/2021
CD2107150947,12718.4,CONSTRUCTION,USA,"250,000 - 500,000",6 years,10/21/2021
CD2108251208,14652.23,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",1 year,9/1/2021
CD2012040922,54329.94,SHORT-HAUL TRANSPORTATION,CAN,"Under 250,000",7 years,3/10/2021
CD2203070655,46881.33,CONSTRUCTION,USA,"Under 250,000",0 years,3/17/2022
CD2103230058,19553.46,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",10+ years,4/13/2021
CD2102160423,42979.38,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,6/3/2021
CD2011190048,25756.75,OTHER,CAN,"1,000,000 - 5,000,000",10+ years,3/2/2021
CD2011190088,29078,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",6 years,2/9/2021
CD2011190633,109582.25,CONSTRUCTION,CAN,"5,000,000 - 10,000,000",10+ years,5/27/2021
CD2107150889,123941.85,LONG-HAUL TRANSPORTATION,CAN,"Under 250,000",10+ years,7/27/2021
CD2105200727,34970,LONG-HAUL TRANSPORTATION,USA,"5,000,000 - 10,000,000",8 years,6/8/2021
CD2011190967,46470,CONSTRUCTION,USA,"Over 10,000,000",8 years,1/29/2021
CD2011190811,11452.01,CONSTRUCTION,USA,"5,000,000 - 10,000,000",8 years,4/1/2021
CD2105200767,74145,CONSTRUCTION,USA,"Over 10,000,000",10+ years,7/6/2021
CD2103230397,29595,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,4/8/2021
CD2203071014,208021.25,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,3/21/2022
CD2101120259,92960.88,LONG-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",10+ years,2/28/2021
CD2203071058,25145,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",6 years,3/9/2022
CD2203070942,100228.11,AGGREGATE,USA,"500,000 - 1,000,000",10+ years,3/17/2022
CD2101120559,52600,CONSTRUCTION,CAN,"500,000 - 1,000,000",3 years,5/5/2021
CD2203080007,107850,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/23/2022
CD2105200770,13270,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,8/5/2021
CD2101120641,103185.11,CONSTRUCTION,USA,"1,000,000 - 5,000,000",6 years,3/25/2021
CD2203080575,10677.5,MANUFACTURING,USA,"Over 10,000,000",10+ years,3/17/2022
CD2203071004,31752.75,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",8 years,4/6/2022
CD2101120502,18187,MANUFACTURING,USA,"1,000,000 - 5,000,000",10+ years,2/3/2021
CD2011200442,26184,AGGREGATE,USA,"250,000 - 500,000",8 years,3/3/2021
CD2203071064,104779.65,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,3/9/2022
CD2103230325,5442.18,CONSTRUCTION,USA,"Under 250,000",10+ years,3/31/2021
CD2011200869,29684.38,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",7 years,1/26/2021
CD2105200554,14526.75,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",1 year,5/28/2021
CD2012091165,55411.11,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,3/31/2021
CD2102160520,19533.75,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",3 years,3/30/2021
CD2105200493,12944.52,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",4 years,6/28/2021
CD2011200560,32708.11,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,2/4/2021
CD2011200510,61068.22,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,2/23/2021
CD2011200409,22050,CONSTRUCTION,CAN,"Under 250,000",10+ years,1/12/2021
CD2011210018,195395,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",7 years,7/30/2021
CD2011210030,88500,CONSTRUCTION,USA,"1,000,000 - 5,000,000",8 years,1/31/2021
CD2011210039,118885,LONG-HAUL TRANSPORTATION,USA,"5,000,000 - 10,000,000",7 years,1/21/2021
CD2203080356,62856.5,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,3/14/2022
CD2203161006,52835,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,3/25/2022
CD2105200898,43918.98,CONSTRUCTION,USA,"Under 250,000",10+ years,5/25/2021
CD2107150880,188137.75,CONSTRUCTION,CAN,"500,000 - 1,000,000",2 years,8/24/2021
CD2108251278,40302.79,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",3 years,9/28/2021
CD2109281205,304425.6,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",6 years,10/12/2021
CD2109281417,239310,LONG-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",8 years,10/18/2021
CD2203080369,132232.5,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/10/2022
CD2203080427,88340,MINING,USA,"1,000,000 - 5,000,000",10+ years,4/19/2022
CD2203080818,185245,CONSTRUCTION,USA,"1,000,000 - 5,000,000",9 years,3/18/2022
CD2108310801,23513.54,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,9/14/2021
CD2112090007,23695,CONSTRUCTION,CAN,"Under 250,000",6 years,12/10/2021
CD2203080777,29717.03,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",4 years,3/17/2022
CD2108260370,34032.86,CONSTRUCTION,USA,"1,000,000 - 5,000,000",3 years,9/7/2021
CD2203071047,71898.75,CONSTRUCTION,USA,"Over 10,000,000",10+ years,3/8/2022
CD2203080458,8920.66,CONSTRUCTION,USA,"Under 250,000",10+ years,3/9/2022
CD2203071079,41726.62,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",0 years,4/25/2022
CD2203080756,39339.5,LONG-HAUL TRANSPORTATION,CAN,"Under 250,000",0 years,3/10/2022
CD2203080108,34655.58,LONG-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",10+ years,3/18/2022
CD2203080076,464071,CONSTRUCTION,CAN,"5,000,000 - 10,000,000",10+ years,5/16/2022
CD2203080137,11225,CONSTRUCTION,USA,"500,000 - 1,000,000",6 years,3/14/2022
CD2108250550,26682.24,CONSTRUCTION,USA,"Under 250,000",1 year,10/18/2021
CD2203080349,44966.48,CONSTRUCTION,USA,"Under 250,000",10+ years,3/11/2022
CD2203080463,36642.95,CONSTRUCTION,USA,"250,000 - 500,000",8 years,3/17/2022
CD2201180966,83706.12,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",6 years,3/8/2022
CD2203080812,129633,AGRICULTURE,CAN,"250,000 - 500,000",10+ years,3/29/2022
CD2110080808,48045,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,10/21/2021
CD2203080701,97009.39,LONG-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,5/12/2022
CD2203080039,29465.79,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,3/18/2022
CD2203080613,132212.18,CONSTRUCTION,USA,"500,000 - 1,000,000",9 years,3/23/2022
CD2203140184,25548.07,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,4/14/2022
CD2104301021,44795,CONSTRUCTION,CAN,"250,000 - 500,000",10+ years,6/17/2021
CD2104300980,23360,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,5/11/2021
CD2104300253,55658,FORESTRY,CAN,"1,000,000 - 5,000,000",8 years,6/29/2021
CD2011230445,44785,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,5/25/2021
CD2203080084,136130,LONG-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",7 years,3/17/2022
CD2203161143,120610.53,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",9 years,3/28/2022
CD2107150875,32618.73,FORESTRY,CAN,"500,000 - 1,000,000",7 years,12/20/2021
CD2011240817,199934.62,FORESTRY,USA,"5,000,000 - 10,000,000",10+ years,5/26/2021
CD2203080139,31627.54,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",0 years,3/22/2022
CD2203080783,166445,DEALER,USA,"1,000,000 - 5,000,000",5 years,3/10/2022
CD2203080841,81729.5,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/9/2022
CD2011230906,83295,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,4/7/2021
CD2011230783,12260,AGGREGATE,CAN,"1,000,000 - 5,000,000",10+ years,4/19/2021
CD2011230770,96995,LONG-HAUL TRANSPORTATION,USA,"Over 10,000,000",10+ years,1/13/2021
CD2203080766,175528,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/9/2022
CD2203080823,75916,CONSTRUCTION,USA,"1,000,000 - 5,000,000",4 years,4/8/2022
CD2011230959,40850,LONG-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,3/11/2021
CD2103180025,72895,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,4/7/2021
CD2011230960,36105.25,AGRICULTURE,CAN,"Under 250,000",10+ years,5/26/2021
CD2107150898,73530,LONG-HAUL TRANSPORTATION,CAN,"Under 250,000",10+ years,7/21/2021
CD2102190303,13016.48,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",5 years,3/5/2021
CD2102190325,41385,DEALER,USA,"Over 10,000,000",10+ years,2/26/2021
CD2107150916,155483.72,CONSTRUCTION,USA,"1,000,000 - 5,000,000",7 years,8/25/2021
CD2102200086,103410.18,CONSTRUCTION,USA,"Over 10,000,000",10+ years,2/23/2021
CD2108250496,272387.52,CONSTRUCTION,USA,"Over 10,000,000",10+ years,9/2/2021
CD2203080170,31555.39,CONSTRUCTION,USA,"250,000 - 500,000",5 years,3/14/2022
CD2011240091,122495,CONSTRUCTION,CAN,"Over 10,000,000",10+ years,3/17/2021
CD2203080801,157791.74,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/9/2022
CD2011240974,9645,CONSTRUCTION,USA,"Under 250,000",10+ years,6/7/2021
CD2011240807,34895,CONSTRUCTION,USA,"Over 10,000,000",10+ years,2/16/2021
CD2011240982,59354.85,AGRICULTURE,CAN,"500,000 - 1,000,000",10+ years,4/5/2021
CD2011250835,82280,AGRICULTURE,CAN,"1,000,000 - 5,000,000",10+ years,3/24/2021
CD2011250874,30256.53,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",6 years,4/19/2021
CD2011250770,46337.42,FORESTRY,USA,"Under 250,000",3 years,4/15/2021
CD2011250901,41355,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,4/22/2021
CD2011250877,66312.92,FORESTRY,USA,"Under 250,000",10+ years,4/5/2021
CD2011260275,181419.5,FORESTRY,CAN,"1,000,000 - 5,000,000",9 years,5/7/2021
CD2102160823,115116.79,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",8 years,2/24/2021
CD2103230452,54164.5,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",7 years,3/29/2021
CD2012290112,45000,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",10+ years,1/13/2021
CD2103230448,18682.95,CONSTRUCTION,USA,"250,000 - 500,000",4 years,4/5/2021
CD2104300206,33979,OTHER,CAN,"1,000,000 - 5,000,000",10+ years,6/18/2021
CD2011260316,44527.72,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,2/25/2021
CD2102010293,251240,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/3/2021
